crop,season,rainfall,soil_type,land_size,estimated_water_need,risk_level
millets,rabi,low,loamy,3.17,1711.8,Low
wheat,kharif,high,sandy,0.9,777.6,Low
wheat,kharif,high,sandy,1.65,1425.6,Low
vegetables,summer,high,sandy,3.91,2252.16,Low
paddy,rabi,low,black,9.72,15513.12,High
millets,summer,moderate,sandy,8.09,4368.6,Medium
groundnut,summer,moderate,clay,1.13,661.05,Low
maize,kharif,high,loamy,7.08,3964.8,Medium
groundnut,kharif,high,loamy,1.39,722.8,Low
cotton,kharif,low,loamy,6.24,8985.6,High
sunflower,kharif,moderate,clay,7.34,3303.0,Medium
cotton,kharif,low,black,6.33,8659.44,High
vegetables,summer,moderate,clay,2.04,1101.6,Low
vegetables,summer,low,black,3.65,2496.6,Low
wheat,summer,low,loamy,6.54,7063.2,High
soybean,kharif,moderate,sandy,9.44,6796.8,High
soybean,kharif,high,black,4.35,1983.6,Low
millets,rabi,high,black,9.49,3245.58,Medium
groundnut,rabi,high,sandy,9.3,5803.2,Medium
cotton,summer,high,loamy,3.6,3456.0,Medium
vegetables,summer,high,sandy,6.53,3761.28,Medium
cotton,kharif,low,clay,7.27,9421.92,High
groundnut,kharif,low,black,1.39,1029.99,Low
paddy,kharif,moderate,loamy,3.37,4718.0,Medium
sugarcane,summer,high,loamy,1.66,2390.4,Low
vegetables,rabi,moderate,clay,1.09,588.6,Low
sunflower,rabi,low,clay,8.3,4482.0,Medium
cotton,summer,moderate,clay,8.45,9126.0,High
soybean,summer,moderate,clay,8.84,4773.6,Medium
groundnut,rabi,moderate,sandy,8.89,6934.2,High
cotton,kharif,high,clay,9.68,8363.52,High
soybean,summer,low,loamy,3.73,2685.6,Low
sugarcane,kharif,moderate,sandy,9.23,19936.8,High
groundnut,summer,high,black,8.58,4238.52,Medium
maize,rabi,low,loamy,9.36,7862.4,High
vegetables,rabi,low,sandy,6.9,5961.6,Medium
groundnut,rabi,high,clay,3.09,1446.12,Low
maize,kharif,high,black,4.23,2250.36,Low
sunflower,summer,moderate,clay,0.86,387.0,Low
paddy,rabi,low,clay,9.35,14137.2,High
soybean,rabi,moderate,loamy,7.28,4368.0,Medium
sunflower,summer,low,clay,4.18,2257.2,Low
millets,summer,moderate,black,8.84,3779.1,Medium
vegetables,summer,low,clay,7.76,5028.48,Medium
vegetables,kharif,high,clay,7.51,3244.32,Medium
sugarcane,summer,high,sandy,6.62,11439.36,High
vegetables,summer,moderate,black,5.52,3146.4,Medium
sugarcane,rabi,high,black,9.16,12530.88,High
cotton,summer,high,loamy,6.42,6163.2,High
millets,summer,moderate,clay,5.82,2357.1,Low
millets,summer,low,sandy,5.22,3382.56,Medium
cotton,summer,high,loamy,3.73,3580.8,Medium
cotton,summer,moderate,clay,7.7,8316.0,High
sunflower,summer,low,clay,4.01,2165.4,Low
sunflower,kharif,high,clay,6.78,2440.8,Low
vegetables,summer,moderate,clay,1.16,626.4,Low
millets,summer,low,black,9.22,4729.86,Medium
vegetables,rabi,high,sandy,8.68,4999.68,Medium
groundnut,kharif,high,loamy,0.93,483.6,Low
maize,rabi,low,clay,4.03,3046.68,Medium
groundnut,kharif,high,clay,8.98,4202.64,Medium
sugarcane,kharif,high,sandy,3.98,6877.44,High
sunflower,kharif,moderate,loamy,2.61,1305.0,Low
soybean,summer,low,black,8.93,6108.12,High
wheat,kharif,moderate,black,2.32,1983.6,Low
paddy,rabi,moderate,loamy,8.19,11466.0,High
soybean,rabi,low,loamy,6.15,4428.0,Medium
paddy,summer,high,black,9.27,9863.28,High
sunflower,kharif,moderate,loamy,6.89,3445.0,Medium
soybean,summer,low,clay,0.89,576.72,Low
cotton,kharif,moderate,clay,7.68,8294.4,High
paddy,kharif,high,clay,2.51,2530.08,Low
wheat,kharif,high,clay,2.37,1535.76,Low
wheat,summer,high,loamy,7.14,5140.8,Medium
vegetables,rabi,moderate,black,0.97,552.9,Low
cotton,kharif,moderate,black,2.7,3078.0,Medium
maize,rabi,moderate,loamy,6.79,4753.0,Medium
groundnut,summer,high,loamy,7.06,3671.2,Medium
soybean,rabi,moderate,sandy,8.68,6249.6,High
vegetables,summer,high,sandy,7.79,4487.04,Medium
sunflower,kharif,high,black,2.55,969.0,Low
vegetables,summer,moderate,sandy,8.69,6256.8,High
millets,summer,high,clay,3.38,1095.12,Low
sunflower,summer,low,black,4.09,2331.3,Low
sugarcane,rabi,low,black,5.38,11039.76,High
millets,rabi,moderate,sandy,1.26,680.4,Low
cotton,kharif,low,clay,3.53,4574.88,Medium
cotton,rabi,moderate,clay,2.96,3196.8,Medium
wheat,rabi,moderate,black,3.77,3223.35,Medium
sunflower,kharif,moderate,loamy,3.11,1555.0,Low
cotton,summer,low,black,1.93,2640.24,Low
vegetables,kharif,low,black,2.63,1798.92,Low
groundnut,rabi,high,sandy,7.23,4511.52,Medium
maize,rabi,high,sandy,7.92,5322.24,Medium
paddy,rabi,high,black,7.35,7820.4,High
millets,rabi,low,sandy,0.53,343.44,Low
millets,kharif,moderate,black,8.21,3509.78,Medium
cotton,rabi,low,black,8.8,12038.4,High
soybean,kharif,high,black,0.83,378.48,Low
millets,summer,low,sandy,4.33,2805.84,Low
maize,summer,moderate,black,1.98,1316.7,Low
millets,kharif,high,loamy,0.8,288.0,Low
paddy,rabi,low,sandy,8.46,17055.36,High
wheat,rabi,high,sandy,6.4,5529.6,Medium
millets,kharif,high,loamy,2.78,1000.8,Low
millets,kharif,moderate,loamy,9.38,4221.0,Medium
wheat,rabi,moderate,sandy,5.03,5432.4,Medium
cotton,summer,low,sandy,2.5,4320.0,Medium
soybean,rabi,moderate,clay,9.61,5189.4,Medium
vegetables,rabi,high,sandy,4.53,2609.28,Low
soybean,kharif,moderate,loamy,3.41,2046.0,Low
groundnut,rabi,low,black,9.31,6898.71,High
millets,kharif,moderate,black,3.92,1675.8,Low
millets,kharif,high,black,6.63,2267.46,Low
groundnut,summer,low,sandy,2.92,2733.12,Low
wheat,kharif,low,clay,6.22,6045.84,High
groundnut,rabi,moderate,sandy,5.54,4321.2,Medium
soybean,rabi,low,loamy,9.62,6926.4,High
maize,rabi,high,loamy,6.18,3460.8,Medium
cotton,summer,moderate,sandy,2.6,3744.0,Medium
sunflower,summer,high,loamy,6.8,2720.0,Low
paddy,kharif,low,black,9.09,14507.64,High
millets,rabi,moderate,sandy,7.77,4195.8,Medium
maize,rabi,high,black,9.75,5187.0,Medium
cotton,summer,moderate,black,8.23,9382.2,High
paddy,rabi,low,sandy,1.74,3507.84,Medium
soybean,kharif,moderate,loamy,8.91,5346.0,Medium
sugarcane,summer,low,black,5.56,11409.12,High
sunflower,rabi,low,loamy,1.33,798.0,Low
paddy,kharif,moderate,loamy,3.85,5390.0,Medium
wheat,summer,moderate,sandy,8.64,9331.2,High
vegetables,kharif,moderate,black,6.77,3858.9,Medium
paddy,summer,low,sandy,9.35,18849.6,High
maize,summer,low,loamy,4.19,3519.6,Medium
sugarcane,rabi,low,black,1.83,3755.16,Medium
sugarcane,summer,low,loamy,0.6,1296.0,Low
paddy,summer,high,loamy,2.79,3124.8,Medium
millets,kharif,low,black,6.74,3457.62,Medium
sunflower,summer,high,sandy,9.87,4737.6,Medium
paddy,kharif,high,clay,2.12,2136.96,Low
sunflower,rabi,high,black,3.47,1318.6,Low
cotton,summer,high,loamy,4.7,4512.0,Medium
paddy,summer,moderate,sandy,9.29,15607.2,High
sugarcane,summer,high,black,1.66,2270.88,Low
cotton,rabi,high,loamy,3.25,3120.0,Medium
soybean,summer,low,clay,3.7,2397.6,Low
vegetables,summer,moderate,clay,8.37,4519.8,Medium
cotton,summer,high,clay,1.94,1676.16,Low
cotton,rabi,low,black,9.12,12476.16,High
paddy,summer,low,clay,9.7,14666.4,High
cotton,kharif,high,black,1.11,1012.32,Low
vegetables,kharif,low,clay,7.48,4847.04,Medium
sunflower,rabi,moderate,black,9.1,4322.5,Medium
paddy,kharif,low,clay,2.43,3674.16,Medium
groundnut,rabi,high,clay,5.13,2400.84,Low
maize,summer,moderate,sandy,7.65,6426.0,High
vegetables,kharif,moderate,black,7.86,4480.2,Medium
cotton,rabi,moderate,sandy,6.96,10022.4,High
wheat,summer,high,sandy,9.43,8147.52,High
wheat,rabi,moderate,loamy,1.99,1791.0,Low
groundnut,rabi,high,sandy,2.16,1347.84,Low
wheat,rabi,low,black,6.27,6433.02,High
groundnut,rabi,high,clay,4.01,1876.68,Low
wheat,rabi,high,clay,9.65,6253.2,High
paddy,summer,high,clay,6.79,6844.32,High
soybean,rabi,high,loamy,8.07,3873.6,Medium
sunflower,rabi,moderate,loamy,8.04,4020.0,Medium
millets,summer,high,black,7.83,2677.86,Low
millets,summer,low,clay,8.51,4135.86,Medium
paddy,summer,high,clay,2.0,2016.0,Low
wheat,rabi,high,clay,9.63,6240.24,High
cotton,kharif,moderate,clay,1.48,1598.4,Low
paddy,summer,high,sandy,7.43,9985.92,High
groundnut,rabi,low,black,6.16,4564.56,Medium
paddy,kharif,moderate,black,9.18,12209.4,High
vegetables,kharif,moderate,clay,6.59,3558.6,Medium
wheat,kharif,moderate,clay,1.6,1296.0,Low
wheat,summer,moderate,loamy,4.59,4131.0,Medium
vegetables,rabi,moderate,loamy,5.06,3036.0,Medium
soybean,kharif,moderate,loamy,3.6,2160.0,Low
cotton,summer,moderate,clay,8.97,9687.6,High
groundnut,summer,moderate,clay,8.14,4761.9,Medium
paddy,rabi,low,black,6.04,9639.84,High
maize,rabi,low,black,0.76,606.48,Low
paddy,kharif,high,loamy,9.29,10404.8,High
groundnut,rabi,low,clay,9.52,6683.04,High
sunflower,kharif,high,clay,9.93,3574.8,Medium
cotton,rabi,high,clay,2.06,1779.84,Low
cotton,rabi,high,sandy,5.2,5990.4,Medium
maize,summer,high,black,5.59,2973.88,Low
sugarcane,kharif,high,black,6.71,9179.28,High
sugarcane,kharif,moderate,clay,5.78,9363.6,High
groundnut,kharif,low,clay,7.84,5503.68,Medium
vegetables,kharif,low,loamy,4.92,3542.4,Medium
groundnut,kharif,moderate,clay,2.29,1339.65,Low
cotton,kharif,moderate,sandy,4.93,7099.2,High
wheat,rabi,low,sandy,3.87,5015.52,Medium
sugarcane,summer,moderate,loamy,6.08,10944.0,High
vegetables,summer,moderate,loamy,9.59,5754.0,Medium
wheat,summer,low,loamy,2.67,2883.6,Low
maize,kharif,high,clay,4.49,2262.96,Low
wheat,kharif,moderate,loamy,5.61,5049.0,Medium
sugarcane,kharif,low,black,8.94,18344.88,High
cotton,rabi,low,sandy,9.68,16727.04,High
sugarcane,rabi,high,clay,5.94,7698.24,High
wheat,summer,moderate,clay,7.75,6277.5,High
sunflower,kharif,high,clay,0.82,295.2,Low
sugarcane,summer,low,loamy,7.48,16156.8,High
wheat,summer,low,black,5.88,6032.88,High
groundnut,kharif,moderate,sandy,2.55,1989.0,Low
cotton,rabi,low,clay,0.89,1153.44,Low
sunflower,kharif,low,black,4.81,2741.7,Low
maize,kharif,moderate,clay,3.41,2148.3,Low
cotton,kharif,moderate,black,9.08,10351.2,High
wheat,kharif,high,sandy,7.88,6808.32,High
groundnut,kharif,moderate,loamy,3.34,2171.0,Low
sugarcane,rabi,low,loamy,5.16,11145.6,High
groundnut,summer,high,clay,3.07,1436.76,Low
millets,rabi,moderate,loamy,2.57,1156.5,Low
sunflower,kharif,low,loamy,5.66,3396.0,Medium
maize,summer,high,sandy,5.75,3864.0,Medium
wheat,rabi,high,black,4.61,3153.24,Medium
cotton,summer,low,black,6.07,8303.76,High
vegetables,kharif,moderate,clay,9.72,5248.8,Medium
groundnut,summer,low,loamy,3.21,2503.8,Low
sunflower,summer,low,clay,6.2,3348.0,Medium
vegetables,kharif,moderate,loamy,3.37,2022.0,Low
maize,summer,low,clay,4.24,3205.44,Medium
millets,summer,low,sandy,8.07,5229.36,Medium
wheat,kharif,high,black,9.01,6162.84,High
cotton,summer,moderate,loamy,7.49,8988.0,High
wheat,rabi,high,black,3.0,2052.0,Low
cotton,kharif,moderate,clay,1.04,1123.2,Low
wheat,rabi,moderate,clay,7.02,5686.2,Medium
wheat,summer,low,black,1.56,1600.56,Low
sunflower,kharif,moderate,black,4.55,2161.25,Low
millets,rabi,high,clay,6.75,2187.0,Low
groundnut,rabi,moderate,black,4.1,2531.75,Low
cotton,kharif,moderate,sandy,4.38,6307.2,High
cotton,summer,moderate,clay,2.24,2419.2,Low
soybean,kharif,high,black,1.41,642.96,Low
millets,rabi,moderate,clay,5.8,2349.0,Low
sunflower,summer,moderate,black,5.62,2669.5,Low
groundnut,summer,moderate,loamy,5.66,3679.0,Medium
paddy,kharif,low,clay,8.86,13396.32,High
sugarcane,rabi,high,loamy,5.3,7632.0,High
cotton,kharif,moderate,loamy,6.84,8208.0,High
millets,rabi,low,loamy,9.65,5211.0,Medium
groundnut,summer,moderate,clay,2.74,1602.9,Low
paddy,summer,low,sandy,7.36,14837.76,High
sunflower,kharif,high,clay,2.75,990.0,Low
paddy,kharif,low,sandy,1.9,3830.4,Medium
soybean,rabi,high,clay,7.61,3287.52,Medium
sunflower,summer,moderate,clay,6.89,3100.5,Medium
groundnut,summer,low,loamy,8.14,6349.2,High
paddy,summer,high,sandy,7.65,10281.6,High
cotton,summer,low,sandy,4.71,8138.88,High
soybean,summer,moderate,loamy,6.0,3600.0,Medium
groundnut,rabi,high,loamy,4.05,2106.0,Low
soybean,rabi,moderate,loamy,5.96,3576.0,Medium
millets,rabi,low,black,2.35,1205.55,Low
maize,rabi,moderate,loamy,6.22,4354.0,Medium
groundnut,summer,low,loamy,3.22,2511.6,Low
millets,summer,moderate,clay,8.16,3304.8,Medium
wheat,rabi,low,sandy,4.3,5572.8,Medium
paddy,kharif,high,black,9.77,10395.28,High
soybean,kharif,moderate,sandy,1.12,806.4,Low
soybean,kharif,moderate,clay,2.92,1576.8,Low
cotton,kharif,low,sandy,1.82,3144.96,Medium
sunflower,summer,high,black,4.79,1820.2,Low
sunflower,rabi,moderate,sandy,9.38,5628.0,Medium
groundnut,kharif,high,clay,8.23,3851.64,Medium
wheat,rabi,low,loamy,2.92,3153.6,Medium
millets,rabi,low,clay,8.03,3902.58,Medium
soybean,summer,moderate,sandy,6.58,4737.6,Medium
wheat,summer,high,clay,1.93,1250.64,Low
soybean,summer,high,loamy,7.73,3710.4,Medium
vegetables,kharif,low,black,7.15,4890.6,Medium
millets,kharif,moderate,sandy,9.14,4935.6,Medium
millets,kharif,low,black,8.06,4134.78,Medium
cotton,rabi,moderate,loamy,7.95,9540.0,High
millets,summer,moderate,loamy,5.52,2484.0,Low
vegetables,rabi,moderate,black,6.06,3454.2,Medium
groundnut,summer,low,black,0.83,615.03,Low
cotton,kharif,moderate,clay,4.93,5324.4,Medium
maize,rabi,low,sandy,3.81,3840.48,Medium
wheat,summer,low,black,6.49,6658.74,High
sunflower,summer,high,sandy,1.41,676.8,Low
millets,kharif,low,sandy,9.0,5832.0,Medium
maize,kharif,low,loamy,8.75,7350.0,High
paddy,kharif,low,sandy,3.38,6814.08,High
soybean,kharif,low,loamy,1.47,1058.4,Low
sunflower,summer,high,loamy,4.84,1936.0,Low
groundnut,rabi,moderate,black,1.06,654.55,Low
vegetables,rabi,moderate,clay,3.95,2133.0,Low
wheat,rabi,low,sandy,6.27,8125.92,High
wheat,rabi,low,sandy,6.54,8475.84,High
soybean,summer,moderate,sandy,2.57,1850.4,Low
maize,kharif,high,loamy,6.17,3455.2,Medium
groundnut,rabi,low,sandy,2.99,2798.64,Low
paddy,summer,low,black,9.51,15177.96,High
sunflower,summer,low,sandy,9.29,6688.8,High
soybean,kharif,moderate,sandy,9.54,6868.8,High
sugarcane,rabi,moderate,black,5.93,10140.3,High
millets,rabi,high,clay,9.11,2951.64,Low
vegetables,kharif,high,loamy,8.75,4200.0,Medium
sugarcane,rabi,high,black,2.6,3556.8,Medium
cotton,rabi,low,loamy,8.44,12153.6,High
vegetables,kharif,high,clay,6.98,3015.36,Medium
wheat,kharif,moderate,loamy,9.1,8190.0,High
maize,rabi,low,loamy,4.88,4099.2,Medium
cotton,summer,high,sandy,7.69,8858.88,High
paddy,kharif,low,sandy,6.92,13950.72,High
wheat,kharif,low,loamy,5.11,5518.8,Medium
vegetables,kharif,moderate,sandy,9.05,6516.0,High
wheat,kharif,moderate,loamy,5.4,4860.0,Medium
wheat,kharif,moderate,sandy,8.35,9018.0,High
cotton,rabi,low,black,3.59,4911.12,Medium
sunflower,summer,moderate,sandy,4.58,2748.0,Low
cotton,kharif,moderate,loamy,4.24,5088.0,Medium
vegetables,summer,high,loamy,3.34,1603.2,Low
maize,rabi,low,loamy,2.48,2083.2,Low
soybean,kharif,low,loamy,2.09,1504.8,Low
soybean,kharif,high,black,0.56,255.36,Low
wheat,summer,moderate,black,5.1,4360.5,Medium
vegetables,rabi,moderate,sandy,7.3,5256.0,Medium
vegetables,kharif,moderate,clay,8.43,4552.2,Medium
wheat,rabi,low,loamy,5.3,5724.0,Medium
soybean,kharif,moderate,sandy,5.22,3758.4,Medium
vegetables,rabi,high,clay,2.2,950.4,Low
vegetables,kharif,low,clay,9.41,6097.68,High
groundnut,summer,low,black,9.04,6698.64,High
soybean,kharif,moderate,clay,8.11,4379.4,Medium
maize,rabi,moderate,clay,1.04,655.2,Low
cotton,kharif,low,black,4.48,6128.64,High
paddy,kharif,low,sandy,6.12,12337.92,High
maize,kharif,moderate,clay,2.11,1329.3,Low
groundnut,kharif,moderate,clay,2.56,1497.6,Low
sugarcane,kharif,high,sandy,6.73,11629.44,High
groundnut,kharif,high,sandy,8.67,5410.08,Medium
millets,rabi,low,sandy,3.5,2268.0,Low
millets,summer,moderate,sandy,6.66,3596.4,Medium
sunflower,rabi,low,clay,6.7,3618.0,Medium
sunflower,summer,moderate,loamy,7.91,3955.0,Medium
soybean,summer,moderate,black,3.11,1772.7,Low
vegetables,rabi,high,sandy,5.1,2937.6,Low
sunflower,rabi,low,loamy,9.95,5970.0,Medium
paddy,summer,high,loamy,6.84,7660.8,High
wheat,rabi,high,loamy,9.92,7142.4,High
soybean,kharif,moderate,loamy,1.1,660.0,Low
millets,kharif,low,clay,8.36,4062.96,Medium
millets,summer,moderate,black,1.36,581.4,Low
cotton,summer,moderate,clay,8.42,9093.6,High
vegetables,kharif,low,black,9.71,6641.64,High
maize,kharif,low,loamy,2.69,2259.6,Low
cotton,rabi,low,black,2.34,3201.12,Medium
sunflower,summer,high,sandy,7.22,3465.6,Medium
millets,rabi,moderate,clay,9.84,3985.2,Medium
cotton,kharif,high,clay,4.67,4034.88,Medium
cotton,kharif,high,clay,3.33,2877.12,Low
soybean,kharif,low,black,8.85,6053.4,High
soybean,summer,high,loamy,8.95,4296.0,Medium
maize,kharif,low,black,4.77,3806.46,Medium
groundnut,rabi,low,clay,3.21,2253.42,Low
vegetables,summer,moderate,sandy,3.23,2325.6,Low
sunflower,kharif,high,loamy,5.95,2380.0,Low
paddy,rabi,high,clay,9.31,9384.48,High
sunflower,rabi,low,sandy,4.37,3146.4,Medium
groundnut,summer,moderate,loamy,6.92,4498.0,Medium
sugarcane,summer,moderate,black,4.72,8071.2,High
sugarcane,kharif,moderate,clay,6.54,10594.8,High
vegetables,summer,moderate,sandy,9.49,6832.8,High
paddy,kharif,high,black,5.36,5703.04,Medium
wheat,kharif,high,loamy,3.72,2678.4,Low
maize,rabi,low,black,0.77,614.46,Low
wheat,kharif,moderate,sandy,1.94,2095.2,Low
vegetables,kharif,high,clay,3.11,1343.52,Low
sunflower,rabi,low,black,2.75,1567.5,Low
groundnut,rabi,low,black,8.63,6394.83,High
wheat,summer,high,loamy,1.87,1346.4,Low
soybean,rabi,high,sandy,3.62,2085.12,Low
paddy,summer,low,sandy,8.18,16490.88,High
soybean,rabi,moderate,black,2.05,1168.5,Low
sugarcane,kharif,high,black,6.89,9425.52,High
soybean,kharif,low,black,6.39,4370.76,Medium
wheat,summer,moderate,black,8.04,6874.2,High
wheat,summer,high,black,6.43,4398.12,Medium
sugarcane,kharif,low,black,3.04,6238.08,High
paddy,kharif,low,black,3.86,6160.56,High
millets,kharif,low,clay,5.24,2546.64,Low
soybean,kharif,low,black,3.35,2291.4,Low
wheat,rabi,moderate,loamy,6.77,6093.0,High
cotton,summer,low,loamy,9.08,13075.2,High
maize,kharif,high,clay,2.0,1008.0,Low
soybean,rabi,low,sandy,4.03,3481.92,Medium
maize,summer,moderate,sandy,2.78,2335.2,Low
vegetables,summer,high,sandy,9.81,5650.56,Medium
groundnut,rabi,high,loamy,5.87,3052.4,Medium
millets,summer,high,clay,2.23,722.52,Low
maize,summer,high,black,8.23,4378.36,Medium
wheat,summer,low,clay,8.79,8543.88,High
sunflower,summer,high,loamy,9.51,3804.0,Medium
maize,rabi,moderate,clay,6.96,4384.8,Medium
paddy,summer,low,black,5.51,8793.96,High
vegetables,summer,moderate,sandy,2.35,1692.0,Low
wheat,kharif,low,loamy,3.59,3877.2,Medium
groundnut,rabi,high,black,3.52,1738.88,Low
millets,summer,high,loamy,8.1,2916.0,Low
wheat,summer,high,loamy,7.18,5169.6,Medium
sunflower,kharif,moderate,sandy,1.87,1122.0,Low
wheat,kharif,high,clay,9.95,6447.6,High
paddy,rabi,moderate,clay,3.49,4397.4,Medium
paddy,kharif,low,sandy,8.16,16450.56,High
cotton,kharif,low,black,6.9,9439.2,High
soybean,kharif,low,sandy,0.81,699.84,Low
groundnut,rabi,low,sandy,9.72,9097.92,High
wheat,summer,low,black,6.29,6453.54,High
wheat,rabi,moderate,clay,3.84,3110.4,Medium
sunflower,kharif,moderate,black,9.53,4526.75,Medium
sunflower,kharif,high,sandy,7.67,3681.6,Medium
sugarcane,summer,moderate,loamy,2.15,3870.0,Medium
sugarcane,rabi,moderate,loamy,5.12,9216.0,High
soybean,kharif,moderate,sandy,8.52,6134.4,High
soybean,rabi,low,black,9.76,6675.84,High
millets,rabi,high,loamy,3.12,1123.2,Low
maize,kharif,low,black,2.35,1875.3,Low
millets,summer,high,black,7.83,2677.86,Low
groundnut,summer,moderate,sandy,6.21,4843.8,Medium
millets,kharif,high,clay,6.65,2154.6,Low
maize,rabi,low,sandy,6.59,6642.72,High
groundnut,kharif,moderate,black,9.15,5650.12,Medium
paddy,kharif,high,clay,4.17,4203.36,Medium
soybean,kharif,low,clay,8.89,5760.72,Medium
groundnut,summer,low,sandy,1.86,1740.96,Low
wheat,kharif,high,sandy,2.67,2306.88,Low
wheat,kharif,low,clay,5.26,5112.72,Medium
cotton,kharif,high,black,7.61,6940.32,High
groundnut,kharif,low,clay,6.57,4612.14,Medium
groundnut,rabi,low,sandy,3.33,3116.88,Medium
paddy,summer,low,clay,3.23,4883.76,Medium
maize,summer,low,clay,0.72,544.32,Low
sunflower,summer,high,sandy,7.95,3816.0,Medium
groundnut,summer,moderate,clay,3.12,1825.2,Low
millets,rabi,high,sandy,8.26,3568.32,Medium
soybean,summer,low,sandy,8.73,7542.72,High
vegetables,summer,high,loamy,1.97,945.6,Low
soybean,summer,moderate,sandy,2.95,2124.0,Low
sugarcane,summer,low,loamy,6.24,13478.4,High
cotton,summer,high,loamy,9.99,9590.4,High
millets,rabi,low,black,3.01,1544.13,Low
wheat,rabi,low,loamy,7.68,8294.4,High
groundnut,rabi,low,sandy,0.53,496.08,Low
millets,rabi,low,black,4.03,2067.39,Low
vegetables,rabi,low,clay,1.61,1043.28,Low
soybean,rabi,high,black,5.35,2439.6,Low
sugarcane,rabi,moderate,black,7.21,12329.1,High
groundnut,kharif,low,clay,8.96,6289.92,High
cotton,summer,moderate,clay,8.2,8856.0,High
cotton,summer,moderate,clay,1.7,1836.0,Low
millets,kharif,high,black,3.71,1268.82,Low
millets,rabi,moderate,loamy,2.73,1228.5,Low
groundnut,summer,high,black,9.35,4618.9,Medium
sugarcane,kharif,low,loamy,5.3,11448.0,High
millets,rabi,moderate,clay,6.56,2656.8,Low
soybean,summer,low,sandy,6.76,5840.64,Medium
vegetables,kharif,moderate,black,4.78,2724.6,Low
cotton,rabi,moderate,sandy,5.35,7704.0,High
vegetables,summer,high,loamy,4.31,2068.8,Low
millets,summer,moderate,clay,5.8,2349.0,Low
soybean,summer,moderate,black,3.6,2052.0,Low
sunflower,summer,low,clay,3.06,1652.4,Low
millets,kharif,moderate,sandy,4.16,2246.4,Low
vegetables,summer,low,loamy,6.72,4838.4,Medium
sunflower,kharif,moderate,black,3.82,1814.5,Low
wheat,summer,low,sandy,3.05,3952.8,Medium
maize,kharif,moderate,loamy,2.35,1645.0,Low
sunflower,rabi,low,sandy,6.26,4507.2,Medium
sunflower,kharif,moderate,black,4.95,2351.25,Low
cotton,kharif,moderate,black,3.87,4411.8,Medium
maize,summer,moderate,sandy,8.18,6871.2,High
groundnut,kharif,low,clay,2.46,1726.92,Low
sunflower,summer,moderate,sandy,6.6,3960.0,Medium
sunflower,summer,high,loamy,4.42,1768.0,Low
vegetables,summer,moderate,black,5.9,3363.0,Medium
maize,summer,low,loamy,5.98,5023.2,Medium
maize,summer,moderate,black,2.32,1542.8,Low
paddy,summer,high,loamy,4.37,4894.4,Medium
cotton,kharif,high,clay,0.67,578.88,Low
wheat,rabi,high,sandy,5.09,4397.76,Medium
vegetables,kharif,moderate,black,2.69,1533.3,Low
maize,kharif,high,black,2.21,1175.72,Low
groundnut,rabi,low,sandy,9.47,8863.92,High
wheat,rabi,low,black,8.19,8402.94,High
