water_source,area_type,tds,bacteria_level,turbidity,safety_status
tanker,urban,831,5,10,Warning
borewell,urban,1212,99,5,Warning
river,semi-urban,1304,42,3,Warning
borewell,rural,512,100,8,Warning
river,semi-urban,899,68,14,Unsafe
pond,urban,542,89,18,Unsafe
tap,rural,221,94,4,Safe
tap,semi-urban,273,75,15,Warning
tap,rural,1471,23,10,Safe
pond,urban,591,89,15,Unsafe
pond,urban,718,41,7,Unsafe
well,urban,296,95,14,Unsafe
river,semi-urban,1326,6,11,Warning
well,semi-urban,936,0,13,Warning
river,urban,718,29,17,Unsafe
well,rural,1291,64,9,Warning
tanker,rural,212,62,3,Warning
borewell,urban,667,73,19,Warning
pond,urban,1008,28,20,Unsafe
tanker,urban,989,36,8,Warning
tanker,rural,651,58,16,Unsafe
tanker,semi-urban,833,2,4,Warning
borewell,semi-urban,366,33,16,Safe
river,urban,484,30,10,Warning
borewell,rural,160,21,1,Safe
pond,semi-urban,829,22,12,Warning
tanker,urban,1369,29,18,Warning
river,urban,1194,56,17,Unsafe
river,semi-urban,1388,26,7,Warning
well,semi-urban,1461,50,16,Warning
well,semi-urban,324,7,7,Warning
tap,rural,786,3,8,Safe
river,urban,1217,8,3,Warning
borewell,semi-urban,770,4,7,Safe
pond,urban,822,75,20,Unsafe
tap,urban,797,22,16,Safe
tap,urban,1309,82,1,Safe
river,rural,1410,39,2,Warning
tanker,rural,1168,100,10,Unsafe
river,urban,267,32,16,Unsafe
tap,rural,1336,53,19,Safe
pond,semi-urban,735,79,8,Unsafe
tap,rural,1483,11,10,Safe
pond,urban,303,9,16,Warning
borewell,urban,951,15,16,Safe
borewell,rural,1339,92,7,Warning
river,semi-urban,555,88,1,Unsafe
borewell,rural,527,41,3,Safe
tap,urban,994,93,20,Warning
tanker,rural,937,5,18,Warning
tanker,rural,1191,31,8,Warning
tap,rural,1302,21,6,Safe
well,urban,1069,42,16,Warning
pond,urban,657,70,3,Unsafe
river,urban,1042,90,3,Unsafe
tap,urban,1329,63,20,Warning
pond,rural,259,67,18,Unsafe
well,urban,1036,18,12,Warning
pond,urban,145,80,14,Unsafe
river,rural,1408,6,12,Warning
borewell,urban,389,0,19,Safe
tanker,urban,1208,53,7,Warning
pond,rural,1002,56,4,Unsafe
pond,rural,1286,13,1,Warning
tap,rural,438,63,15,Safe
pond,rural,144,4,13,Warning
borewell,urban,249,72,7,Safe
tap,rural,665,30,16,Safe
pond,urban,1197,13,9,Warning
pond,semi-urban,1163,25,17,Unsafe
tanker,rural,739,3,11,Warning
tanker,rural,327,11,8,Warning
pond,semi-urban,612,24,14,Unsafe
well,rural,209,8,4,Safe
tanker,semi-urban,529,91,9,Unsafe
borewell,semi-urban,1119,50,7,Safe
well,semi-urban,562,83,17,Unsafe
well,semi-urban,595,96,15,Unsafe
tap,rural,506,24,11,Safe
tanker,urban,1099,99,1,Unsafe
tanker,rural,574,84,8,Unsafe
borewell,urban,1066,88,14,Warning
river,semi-urban,1268,46,11,Unsafe
pond,rural,205,46,13,Unsafe
tap,semi-urban,1231,33,9,Safe
tanker,urban,393,28,15,Warning
pond,rural,1420,99,6,Unsafe
river,semi-urban,204,60,3,Warning
tanker,semi-urban,1265,60,16,Unsafe
borewell,semi-urban,464,71,11,Warning
borewell,rural,631,80,7,Warning
pond,urban,877,22,9,Warning
pond,urban,276,36,12,Unsafe
borewell,urban,1022,31,4,Safe
borewell,rural,956,34,8,Safe
borewell,urban,1420,100,12,Warning
borewell,semi-urban,522,2,16,Safe
tanker,semi-urban,1066,88,14,Unsafe
pond,semi-urban,102,30,15,Unsafe
pond,rural,635,49,9,Unsafe
tap,rural,1181,89,19,Warning
river,rural,1389,57,8,Unsafe
tap,urban,153,46,20,Safe
tap,semi-urban,237,69,9,Safe
pond,rural,816,49,11,Unsafe
borewell,semi-urban,380,94,11,Warning
tanker,urban,1184,79,10,Unsafe
tap,urban,1495,95,18,Warning
tap,semi-urban,416,61,10,Safe
tanker,semi-urban,734,19,17,Warning
river,semi-urban,1437,35,3,Warning
pond,semi-urban,372,42,5,Warning
pond,semi-urban,396,54,6,Unsafe
river,urban,328,57,15,Unsafe
tap,urban,667,68,10,Safe
borewell,semi-urban,370,67,7,Safe
well,urban,1214,35,11,Warning
tap,urban,659,76,6,Safe
borewell,rural,925,16,10,Safe
pond,semi-urban,881,86,18,Unsafe
pond,urban,1049,36,7,Warning
borewell,semi-urban,406,49,11,Safe
river,urban,530,96,2,Unsafe
river,rural,289,36,8,Warning
tap,semi-urban,388,21,3,Safe
well,urban,503,56,5,Warning
tanker,rural,1487,6,2,Warning
tap,urban,431,57,6,Safe
river,rural,1321,77,11,Unsafe
tap,urban,373,43,14,Safe
pond,urban,493,28,3,Warning
river,semi-urban,133,4,9,Warning
river,urban,716,37,9,Warning
well,rural,846,17,11,Warning
well,urban,841,51,12,Warning
well,semi-urban,251,57,16,Warning
tap,semi-urban,1376,81,6,Safe
borewell,urban,1209,48,8,Safe
tap,rural,1447,33,1,Safe
pond,urban,605,2,3,Warning
tap,semi-urban,761,37,17,Safe
borewell,urban,154,46,19,Warning
borewell,semi-urban,928,19,9,Safe
pond,rural,155,33,11,Unsafe
well,semi-urban,637,47,6,Warning
river,semi-urban,557,35,6,Warning
tanker,urban,1217,95,10,Unsafe
well,rural,1370,77,2,Warning
well,rural,1235,16,1,Safe
borewell,rural,976,74,20,Warning
river,semi-urban,1484,53,4,Warning
pond,rural,927,48,9,Unsafe
borewell,semi-urban,679,2,15,Safe
borewell,urban,1415,88,19,Warning
tap,urban,536,94,1,Safe
borewell,urban,108,48,7,Safe
river,urban,1060,17,8,Warning
pond,semi-urban,684,93,15,Unsafe
tap,urban,948,15,2,Safe
borewell,urban,676,48,12,Safe
tap,urban,1141,65,17,Warning
pond,urban,1393,39,14,Unsafe
river,rural,444,71,6,Unsafe
tanker,urban,1422,98,10,Unsafe
borewell,urban,1143,25,12,Safe
pond,semi-urban,891,59,19,Unsafe
tap,urban,595,85,12,Warning
tanker,rural,1346,2,4,Warning
borewell,urban,273,7,16,Safe
pond,urban,717,63,9,Unsafe
borewell,urban,1413,37,10,Safe
tanker,rural,924,11,17,Warning
river,semi-urban,612,54,2,Warning
tanker,semi-urban,303,20,13,Warning
pond,semi-urban,772,11,7,Warning
borewell,semi-urban,462,91,2,Safe
tanker,semi-urban,935,95,20,Unsafe
tap,urban,566,6,3,Safe
borewell,rural,278,71,12,Warning
well,rural,1359,17,10,Warning
tap,rural,517,58,16,Safe
well,semi-urban,958,49,1,Warning
tanker,urban,475,80,1,Warning
river,rural,1183,27,4,Warning
pond,semi-urban,492,98,19,Unsafe
river,semi-urban,189,75,16,Unsafe
river,rural,378,87,4,Unsafe
tap,urban,816,63,10,Safe
pond,semi-urban,1418,42,5,Warning
pond,semi-urban,1002,44,13,Unsafe
river,urban,458,7,15,Warning
well,semi-urban,456,22,8,Warning
borewell,semi-urban,574,37,18,Safe
pond,urban,1201,94,7,Unsafe
borewell,semi-urban,1374,68,11,Warning
tanker,rural,1378,48,9,Warning
tanker,urban,538,91,16,Unsafe
tap,semi-urban,1004,71,14,Warning
tap,semi-urban,854,56,18,Safe
tanker,rural,1241,44,15,Warning
tap,semi-urban,1109,89,11,Warning
pond,rural,1353,2,14,Warning
pond,semi-urban,816,71,8,Unsafe
pond,rural,1130,3,4,Warning
borewell,urban,848,5,12,Safe
pond,rural,1362,58,4,Unsafe
borewell,semi-urban,605,92,19,Warning
tap,urban,259,95,15,Warning
pond,rural,1402,51,4,Unsafe
borewell,rural,274,39,17,Safe
pond,semi-urban,898,5,7,Warning
tanker,urban,318,36,15,Warning
borewell,rural,141,56,4,Safe
river,urban,832,14,15,Warning
tap,semi-urban,1480,3,1,Safe
pond,rural,1075,61,14,Unsafe
well,rural,749,81,18,Unsafe
well,rural,1461,66,17,Warning
pond,urban,768,12,19,Unsafe
pond,rural,759,49,9,Unsafe
tanker,semi-urban,135,48,16,Unsafe
river,urban,135,62,19,Unsafe
tap,urban,370,100,11,Warning
tanker,rural,842,93,20,Unsafe
river,rural,881,43,12,Unsafe
well,rural,578,7,6,Warning
borewell,rural,284,77,6,Safe
tanker,rural,1342,13,8,Warning
river,urban,1257,14,20,Unsafe
well,rural,1116,67,16,Warning
river,urban,1396,87,13,Unsafe
tanker,rural,1476,60,20,Unsafe
tap,rural,1269,54,19,Warning
well,rural,300,27,15,Warning
tap,semi-urban,1455,100,4,Warning
borewell,semi-urban,641,19,17,Safe
pond,rural,1354,22,14,Unsafe
tap,urban,636,30,17,Safe
borewell,semi-urban,1374,7,15,Safe
well,urban,215,74,3,Warning
tap,urban,1229,19,1,Safe
tanker,rural,1480,85,4,Unsafe
tap,urban,829,85,15,Warning
tanker,semi-urban,1170,3,20,Warning
tap,rural,1418,54,1,Safe
borewell,urban,1260,84,1,Safe
tanker,rural,1455,50,12,Warning
tanker,rural,292,47,11,Warning
borewell,urban,1278,71,13,Warning
tap,urban,1418,20,10,Safe
river,rural,963,66,13,Unsafe
tanker,semi-urban,735,33,3,Warning
pond,rural,1075,6,2,Warning
pond,semi-urban,486,99,16,Unsafe
pond,urban,1255,24,20,Unsafe
borewell,urban,737,23,17,Safe
river,semi-urban,375,3,20,Warning
pond,semi-urban,392,50,2,Warning
tanker,urban,740,100,14,Unsafe
borewell,rural,1202,6,17,Safe
river,rural,472,16,13,Warning
tanker,semi-urban,295,80,20,Unsafe
tanker,semi-urban,542,60,4,Warning
borewell,rural,252,23,13,Safe
tap,urban,267,7,13,Safe
borewell,rural,141,61,9,Safe
pond,urban,1467,96,20,Unsafe
borewell,urban,1148,22,9,Safe
borewell,semi-urban,964,2,11,Safe
borewell,semi-urban,660,10,17,Safe
pond,urban,725,25,5,Warning
pond,semi-urban,1102,92,5,Unsafe
river,semi-urban,607,17,9,Warning
pond,rural,672,32,12,Unsafe
well,rural,242,47,8,Warning
well,semi-urban,690,78,1,Warning
borewell,rural,875,6,19,Safe
well,semi-urban,135,67,16,Warning
river,urban,163,91,4,Unsafe
tanker,semi-urban,349,82,16,Unsafe
well,semi-urban,609,55,20,Warning
tap,urban,1299,36,6,Safe
borewell,rural,698,89,13,Warning
well,semi-urban,1293,14,10,Warning
tap,urban,924,45,20,Safe
tanker,semi-urban,1141,41,10,Warning
pond,urban,1212,75,14,Unsafe
tanker,urban,1181,18,6,Warning
well,semi-urban,1208,75,8,Warning
pond,semi-urban,1139,61,4,Unsafe
tap,semi-urban,808,38,7,Safe
river,urban,1137,66,10,Unsafe
river,rural,530,23,12,Warning
pond,urban,1071,10,7,Warning
tanker,rural,677,21,8,Warning
tap,rural,647,9,13,Safe
river,semi-urban,281,92,14,Unsafe
borewell,semi-urban,522,41,14,Safe
tanker,urban,765,96,16,Unsafe
tanker,urban,1016,10,4,Warning
well,urban,295,95,13,Unsafe
borewell,rural,1228,59,8,Safe
well,semi-urban,961,72,9,Warning
tanker,rural,303,4,9,Warning
river,rural,1236,81,17,Unsafe
river,semi-urban,707,38,16,Unsafe
pond,urban,616,60,1,Unsafe
river,rural,1278,62,8,Unsafe
well,urban,1190,64,15,Warning
well,semi-urban,194,93,7,Warning
well,semi-urban,1229,85,14,Unsafe
tap,urban,871,84,19,Warning
well,rural,340,68,9,Warning
well,rural,408,76,1,Warning
river,rural,335,59,15,Unsafe
borewell,urban,1436,100,12,Warning
tanker,rural,805,79,15,Unsafe
river,rural,762,57,6,Unsafe
pond,semi-urban,1021,34,9,Unsafe
tap,rural,913,14,13,Safe
pond,rural,355,90,9,Unsafe
well,rural,1231,50,2,Warning
well,rural,685,62,12,Warning
well,urban,128,49,19,Warning
borewell,urban,703,70,13,Warning
well,rural,810,66,2,Warning
tap,semi-urban,688,44,5,Safe
pond,urban,1295,2,9,Warning
river,semi-urban,305,6,16,Warning
borewell,rural,140,92,12,Warning
pond,semi-urban,369,56,9,Unsafe
borewell,urban,1056,72,12,Warning
pond,urban,382,52,15,Unsafe
tanker,urban,458,11,19,Warning
river,semi-urban,160,5,2,Warning
river,urban,862,62,17,Unsafe
river,rural,265,94,5,Unsafe
pond,semi-urban,397,72,5,Unsafe
river,rural,1127,25,2,Warning
pond,urban,162,52,14,Unsafe
borewell,rural,1492,42,10,Safe
tap,semi-urban,209,36,6,Safe
tap,urban,1321,14,11,Safe
borewell,urban,915,19,13,Safe
river,semi-urban,831,6,18,Warning
tanker,rural,1498,59,1,Warning
river,semi-urban,1372,100,2,Unsafe
tap,urban,255,55,8,Safe
pond,rural,222,80,18,Unsafe
borewell,urban,1417,76,10,Warning
well,urban,609,2,18,Warning
tap,urban,770,58,6,Safe
tanker,urban,1436,98,16,Unsafe
well,semi-urban,778,77,5,Warning
tap,urban,435,64,19,Warning
tanker,rural,384,20,7,Warning
tap,semi-urban,1409,27,8,Safe
borewell,semi-urban,1135,84,13,Warning
well,urban,479,75,15,Warning
pond,urban,127,38,6,Warning
river,urban,755,52,20,Unsafe
river,urban,1236,56,18,Unsafe
tap,semi-urban,642,97,5,Warning
pond,urban,126,4,10,Warning
river,rural,724,64,2,Warning
pond,rural,390,48,1,Warning
pond,urban,1217,100,18,Unsafe
pond,urban,1440,67,3,Unsafe
pond,semi-urban,852,30,17,Unsafe
well,urban,913,45,17,Warning
tap,urban,1246,72,10,Safe
river,rural,196,6,18,Warning
tanker,urban,1472,93,9,Unsafe
river,rural,1304,40,14,Unsafe
borewell,semi-urban,970,42,10,Safe
borewell,semi-urban,1426,60,4,Safe
tap,semi-urban,1407,11,9,Safe
pond,semi-urban,1275,35,18,Unsafe
pond,semi-urban,875,25,15,Unsafe
tanker,semi-urban,1201,64,10,Unsafe
pond,rural,680,47,15,Unsafe
pond,urban,253,89,13,Unsafe
borewell,rural,1432,54,10,Safe
tanker,rural,1322,41,8,Warning
pond,semi-urban,1384,56,15,Unsafe
borewell,rural,573,26,19,Safe
tanker,semi-urban,1489,50,6,Warning
tanker,semi-urban,524,98,5,Unsafe
tap,urban,1468,41,20,Safe
tanker,semi-urban,888,85,5,Unsafe
river,semi-urban,494,12,10,Warning
pond,rural,492,80,19,Unsafe
tap,semi-urban,1214,87,3,Safe
pond,urban,1250,41,6,Warning
pond,rural,584,85,7,Unsafe
pond,semi-urban,998,90,14,Unsafe
borewell,semi-urban,1116,47,6,Safe
pond,rural,1314,29,18,Unsafe
borewell,urban,1492,10,16,Safe
borewell,semi-urban,1239,87,19,Warning
river,semi-urban,246,62,6,Unsafe
pond,urban,1349,68,5,Unsafe
tanker,semi-urban,1239,66,17,Unsafe
borewell,semi-urban,1233,5,1,Safe
tap,semi-urban,1053,86,9,Warning
tanker,semi-urban,938,99,4,Unsafe
pond,urban,1143,21,11,Warning
tap,rural,1199,37,19,Safe
tanker,urban,1325,21,19,Warning
tap,urban,398,48,3,Safe
river,urban,1022,72,18,Unsafe
pond,urban,301,40,12,Unsafe
borewell,urban,825,1,15,Safe
tap,rural,104,58,11,Safe
well,semi-urban,122,36,11,Warning
tap,rural,1217,11,4,Safe
river,urban,551,15,9,Warning
borewell,semi-urban,1103,27,17,Safe
tanker,urban,814,41,13,Warning
well,rural,675,3,7,Warning
pond,urban,1486,56,1,Warning
river,semi-urban,496,95,3,Unsafe
borewell,semi-urban,936,53,15,Safe
river,semi-urban,322,56,18,Unsafe
tanker,rural,1154,26,13,Warning
borewell,semi-urban,1053,48,1,Safe
pond,rural,241,92,4,Unsafe
borewell,semi-urban,428,36,19,Safe
river,semi-urban,1046,20,14,Warning
tanker,semi-urban,1411,34,11,Warning
river,semi-urban,207,34,10,Warning
tap,rural,1192,30,16,Safe
tanker,semi-urban,729,98,14,Unsafe
tap,urban,422,94,18,Warning
tap,rural,916,73,9,Safe
well,rural,1376,32,14,Warning
tap,rural,1183,33,16,Safe
borewell,urban,1314,63,19,Warning
well,semi-urban,779,86,10,Warning
tap,semi-urban,1486,95,14,Warning
pond,rural,1334,64,14,Unsafe
borewell,rural,1399,41,4,Safe
well,urban,1257,73,8,Warning
tanker,urban,668,48,18,Unsafe
pond,urban,596,95,13,Unsafe
borewell,rural,550,27,17,Safe
borewell,urban,814,100,10,Warning
well,urban,621,31,13,Warning
borewell,urban,218,0,16,Safe
tanker,semi-urban,1271,100,5,Unsafe
pond,urban,1194,32,12,Unsafe
tap,urban,375,73,20,Warning
well,rural,471,3,10,Warning
borewell,urban,1400,78,18,Warning
river,semi-urban,466,94,3,Unsafe
river,urban,1245,9,13,Warning
well,rural,1351,67,2,Warning
tap,semi-urban,373,33,18,Safe
tap,urban,1103,29,17,Safe
well,urban,500,10,18,Warning
tanker,semi-urban,1059,28,10,Warning
well,rural,195,78,9,Warning
well,urban,420,38,3,Warning
tanker,semi-urban,1380,53,5,Warning
well,urban,659,42,6,Warning
river,semi-urban,220,90,8,Unsafe
well,semi-urban,1208,45,19,Warning
well,urban,868,70,12,Warning
borewell,rural,1025,97,11,Warning
river,urban,1042,13,11,Warning
tap,rural,265,80,7,Safe
tanker,semi-urban,1040,39,9,Warning
tap,semi-urban,147,83,3,Safe
well,urban,172,27,12,Warning
tap,semi-urban,792,97,20,Warning
pond,urban,1109,0,9,Warning
river,semi-urban,912,19,9,Warning
pond,rural,254,71,2,Unsafe
tap,semi-urban,1382,20,6,Safe
tap,semi-urban,563,1,12,Safe
tap,rural,1485,50,14,Safe
borewell,semi-urban,697,70,5,Safe
borewell,urban,995,10,3,Safe
river,urban,186,3,2,Warning
borewell,urban,618,54,20,Warning
borewell,semi-urban,663,87,2,Safe
well,semi-urban,430,65,10,Warning
river,semi-urban,286,32,7,Warning
tanker,semi-urban,808,67,16,Unsafe
borewell,rural,785,88,14,Warning
well,semi-urban,979,97,15,Unsafe
borewell,semi-urban,493,0,4,Safe
pond,rural,144,31,19,Unsafe
pond,urban,212,37,11,Unsafe
borewell,semi-urban,1354,21,16,Safe
tap,semi-urban,505,31,15,Safe
pond,semi-urban,311,68,2,Unsafe
well,urban,1316,98,14,Unsafe
river,rural,1009,92,4,Unsafe
tap,rural,691,21,4,Safe
river,rural,135,78,20,Unsafe
well,semi-urban,900,73,19,Unsafe
river,semi-urban,1031,73,10,Unsafe
well,urban,1305,99,14,Unsafe
borewell,urban,219,73,11,Warning
tanker,urban,216,75,12,Unsafe
well,urban,570,34,18,Warning
tanker,rural,500,92,11,Unsafe
well,urban,139,69,8,Warning
river,rural,659,77,12,Unsafe
river,semi-urban,601,16,2,Warning
pond,rural,809,48,16,Unsafe
river,semi-urban,570,100,3,Unsafe
river,urban,1372,16,20,Unsafe
well,urban,342,13,14,Warning
pond,urban,1025,60,12,Unsafe
pond,urban,157,84,3,Unsafe
well,semi-urban,568,7,16,Warning
tap,urban,590,76,14,Warning
borewell,rural,785,68,19,Warning
borewell,urban,987,17,14,Safe
pond,semi-urban,1386,98,10,Unsafe
well,semi-urban,247,41,7,Warning
tanker,semi-urban,1203,3,18,Warning
tanker,semi-urban,467,30,20,Warning
pond,semi-urban,1395,77,13,Unsafe
borewell,rural,434,13,2,Safe
pond,urban,1256,18,3,Warning
pond,rural,720,63,11,Unsafe
river,urban,1006,63,13,Unsafe
tap,semi-urban,1201,90,14,Warning
pond,rural,488,11,1,Warning
tap,rural,289,15,14,Safe
well,rural,1385,13,7,Warning
pond,urban,661,59,14,Unsafe
river,semi-urban,1322,19,5,Warning
tap,rural,1373,98,19,Warning
well,semi-urban,1029,39,1,Warning
pond,semi-urban,187,86,8,Unsafe
tap,semi-urban,880,17,10,Safe
well,rural,1175,38,18,Warning
tap,urban,975,45,4,Safe
tanker,rural,553,9,18,Warning
river,semi-urban,588,23,2,Warning
tanker,urban,1428,4,16,Warning
pond,rural,1095,44,18,Unsafe
well,semi-urban,1366,98,17,Unsafe
river,urban,1040,35,10,Warning
tanker,urban,874,60,18,Unsafe
river,semi-urban,458,74,12,Unsafe
river,urban,581,88,13,Unsafe
river,rural,187,41,9,Warning
borewell,rural,180,79,3,Safe
tanker,semi-urban,1318,36,6,Warning
river,rural,1452,21,6,Warning
tap,rural,130,4,10,Safe
pond,rural,391,78,10,Unsafe
tanker,semi-urban,496,9,14,Warning
borewell,rural,436,72,11,Warning
river,urban,210,45,7,Warning
river,urban,959,83,14,Unsafe
tanker,rural,529,48,7,Warning
pond,urban,411,63,11,Unsafe
tanker,urban,1140,85,9,Unsafe
well,urban,499,19,4,Warning
well,rural,685,95,14,Unsafe
well,rural,139,48,20,Warning
pond,urban,300,56,7,Unsafe
tap,semi-urban,1334,45,5,Safe
tap,urban,515,13,8,Safe
well,semi-urban,605,38,20,Warning
tap,rural,413,66,20,Warning
tap,rural,1299,49,9,Safe
tanker,rural,358,98,10,Unsafe
well,semi-urban,949,100,4,Warning
tanker,rural,1251,90,1,Unsafe
tanker,rural,317,14,20,Warning
borewell,rural,1035,3,11,Safe
tap,rural,1174,31,14,Safe
borewell,urban,548,25,16,Safe
tap,urban,848,77,18,Warning
pond,rural,191,4,19,Unsafe
river,rural,1086,81,19,Unsafe
tap,semi-urban,175,48,12,Safe
borewell,urban,924,3,10,Safe
borewell,rural,1255,34,17,Safe
river,urban,163,68,18,Unsafe
tanker,semi-urban,949,64,16,Unsafe
borewell,semi-urban,436,23,5,Safe
tanker,semi-urban,301,88,12,Unsafe
pond,semi-urban,978,17,16,Unsafe
pond,urban,448,89,15,Unsafe
river,rural,373,95,19,Unsafe
borewell,urban,1343,73,7,Safe
pond,semi-urban,800,81,9,Unsafe
borewell,semi-urban,1306,67,6,Safe
well,rural,781,87,10,Warning
tanker,urban,200,46,18,Unsafe
tanker,semi-urban,451,75,5,Warning
